age,body_type,drinks,drugs,education,income,job,smokes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,has kids,wants kids,likes_dogs,likes_cats,has_dogs,has_cats,sign,sign_importance,religion,religion_importance,chinese,spanish,c++,german,french,italian,japanese,russian,portuguese,latitude,longitude
29,3,2,1,3,-1,0,0,0.5316379070281982,0.4413912296295166,0.02697085589170456,0.5899606943130493,0.4011201560497284,0.0,0.6476261019706726,0.038267407566308975,0.3141064941883087,0.11227153986692427,0.11297328025102615,0.7747551798820496,0.0,0.0,0.9890539646148682,0.08789699524641037,0.09000706672668457,0.8220959901809692,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.037802863866090775,0.6151068806648254,0.3470902442932129,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.044826582074165344,0.4867577254772186,0.4684157073497772,0,0,1,1,0,1,aquarius,1,other,0,0,1,0,0,0,0,0,0,1,37.7790262,-122.4199061
31,0,2,1,1,1000000,2,0,0.4408045113086701,0.3636262118816376,0.19556924700737,0.032644305378198624,0.6046766042709351,0.36267906427383423,0.011307705193758009,0.012089476920664309,0.9766028523445128,0.4905864596366882,0.3698632717132568,0.13955026865005493,0.5076272487640381,0.4778681099414826,0.014504624530673029,0.2376614809036255,0.4783137738704682,0.2840247452259064,0.13262416422367096,0.7331015467643738,0.13427427411079407,0.7706632614135742,0.17589914798736572,0.05343760550022125,0.9113408923149108,0.05025855079293251,0.0384005568921566,0.2742692530155182,0.4915832579135895,0.23414744436740875,0,0,1,1,0,0,,0,other,0,0,0,0,0,0,0,0,3,0,37.7790262,-122.4199061
33,1,3,1,3,-1,2,0,0.03436776623129845,0.039944540709257126,0.9256877303123474,0.0224927831441164,0.6492785811424255,0.3282286822795868,0.06058935821056366,0.027235675603151318,0.9121749401092528,0.04769183695316315,0.3767863810062408,0.5755218267440796,0.0,0.28465980291366577,0.7060465216636658,0.16956813633441925,0.6367196440696716,0.19371220469474792,0.26889321208000183,0.2159348577260971,0.5151718854904175,0.030193645507097244,0.9440823793411256,0.02572399936616421,0.0691361129283905,0.2800342440605164,0.6508296728134155,0.021224211901426315,0.6449846625328064,0.3337911069393158,0,0,1,1,0,0,taurus,0,other,0,0,2,0,0,0,0,0,0,0,37.8044557,-122.2713563
38,1,2,0,3,-1,0,0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0,2,2,1,0,0,taurus,0,other,0,0,0,0,0,0,0,0,0,0,37.8044557,-122.2713563
31,2,2,0,1,-1,4,1,0.6826909780502319,0.04091569036245346,0.276393324136734,0.01330699026584625,0.012982296757400036,0.9737106561660768,0.025076022371649742,0.951143443584442,0.023780517280101776,0.4020819664001465,0.3688417375087738,0.2290762960910797,0.9470033049583436,0.026808710768818852,0.026187963783741,0.9427506923675536,0.034437913447618484,0.022811349481344226,0.4675081372261048,0.4202786087989807,0.11221327632665634,0.13694579899311066,0.7511511445045471,0.11190304160118104,0.03083324432373047,0.4822508692741394,0.4869159162044525,0.11256935447454453,0.11284242570400238,0.7745882272720337,0,0,2,2,0,0,virgo,0,other,3,0,0,0,0,0,0,0,0,0,37.4443293,-122.1598465
29,3,2,0,3,-1,0,0,0.19323080778121948,0.7882446050643921,0.018524594604969025,0.3568801283836365,0.3609519004821777,0.2821679711341858,0.2934161722660065,0.6938740611076355,0.01270972192287445,0.028181077912449837,0.531549870967865,0.4402690231800079,0.0,0.040475912392139435,0.9520090222358704,0.6775949001312256,0.04953321814537048,0.27287188172340393,0.34848880767822266,0.14509107172489166,0.5064201354980469,0.4242386817932129,0.09915261715650557,0.4766087234020233,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6073024272918701,0.05594552680850029,0.3367520570755005,0,0,1,1,0,0,gemini,0,other,0,0,1,0,0,0,0,0,0,0,37.8044557,-122.2713563
25,3,2,0,2,-1,0,0,0.0,0.10038337856531143,0.8947949409484863,0.15646158158779144,0.621181845664978,0.22235658764839167,0.027909429743885997,0.026856506243348118,0.9452340602874756,0.3422802984714508,0.03047955594956875,0.6272401809692383,0.2106707990169525,0.7541611194610596,0.03516804799437523,0.0437949113547802,0.04470107704401016,0.9115039706230164,0.023026974871754646,0.1609637290239334,0.8160092830657959,0.46459099650383,0.4959383606910706,0.039470650255680084,0.6290485858917236,0.03865571692585945,0.3322957158088684,0.03722307458519936,0.672424852848053,0.290352076292038,0,0,2,1,0,1,leo,1,agnosticism,0,0,0,0,0,0,0,0,0,0,37.7790262,-122.4199061
32,2,2,0,3,-1,4,0,0.18045373260974884,0.34679555892944336,0.472750723361969,0.7804704308509827,0.193838432431221,0.02569112181663513,0.9085301160812378,0.047457080334424966,0.044012799859046936,0.06728090345859528,0.8746325373649597,0.0580865666270256,0.6888537406921387,0.0,0.30722954869270325,0.05285131186246872,0.8890959620475769,0.058052744716405875,0.015925554558634758,0.017889881506562233,0.9661845564842224,0.017692986875772476,0.2288239598274231,0.7534830570220947,0.33024048805236816,0.6007758378982544,0.06898365169763565,0.11723531782627104,0.11574383080005644,0.7670208215713501,0,0,2,2,0,0,pisces,1,other,0,0,1,0,0,0,0,2,0,0,37.7790262,-122.4199061
27,3,2,0,3,-1,4,0,0.0,0.636676549911499,0.3533453345298767,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.06992942839860916,0.06883175671100616,0.8612388372421265,0.017244638875126842,0.8645561337471008,0.11819921433925627,0.071464903652668,0.07362354546785355,0.8549115657806396,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.1771611124277115,0.17456790804862976,0.6482710242271423,0.08580181002616882,0.8271817564964294,0.08701638132333755,0.9365995526313782,0.035371184349060066,0.02802925929427147,0,0,1,1,0,0,aries,0,other,1,0,1,0,0,0,0,0,0,0,37.7790262,-122.4199061
43,3,2,0,3,-1,2,0,0.7067016363143921,0.1867326647043228,0.1065656766295433,0.2692001163959503,0.7166715860366821,0.014128280803561209,0.0159312654286623,0.7162309885025024,0.2678377628326416,0.15177787840366366,0.4940645098686218,0.3541576266288757,0.0,0.1618049442768097,0.8343223333358765,0.025229517370462414,0.6663909554481506,0.30837956070899963,0.03377043828368187,0.5558688044548035,0.4103607833385468,0.013466645032167436,0.7067476511001587,0.279785692691803,0.04993430152535439,0.4290492236614227,0.5210164785385132,0.08385278284549713,0.3723324239253998,0.5438148379325867,0,0,2,1,0,1,libra,2,other,0,0,1,0,0,1,0,0,0,0,37.7790262,-122.4199061
