age,body_type,drinks,drugs,education,income,job,smokes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,has kids,wants kids,likes_dogs,likes_cats,has_dogs,has_cats,sign,sign_importance,religion,religion_importance,chinese,spanish,c++,german,french,italian,japanese,russian,portuguese,latitude,longitude
25,1,2,0,2,-1,0,0,0.504842221736908,0.44437623023986816,0.05078153312206268,0.040812879800796516,0.5450959801673889,0.4140911400318146,0.9107913970947266,0.047453846782445915,0.04175475239753723,0.09830370545387268,0.09149164706468582,0.8102046847343445,0.0,0.010243799537420271,0.9800097942352296,0.046938072890043266,0.04594168066978455,0.9071202278137208,0.03071541711688042,0.2702535390853882,0.6990310549736023,0.5187179446220398,0.08096995204687119,0.4003121256828308,0.0577971488237381,0.05741452798247337,0.8847882747650146,0.9712972044944764,0.01478862576186657,0.013914206065237522,0,1,2,2,0,0,libra,1,other,0,0,1,0,0,0,0,0,0,0,37.8044557,-122.2713563
33,1,2,0,3,-1,4,0,0.1838951259851456,0.5668003559112549,0.24930456280708316,0.6597597002983093,0.3262355625629425,0.014004706405103208,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.16855138540267944,0.16981405019760132,0.6616345643997192,0.24241116642951965,0.14493650197982788,0.6126523613929749,0.4215057194232941,0.047946367412805564,0.5305479168891907,0.5672429203987122,0.3125781416893005,0.1201789528131485,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6143747568130493,0.08343555778265,0.3021896779537201,0.591619610786438,0.3793864548206329,0.028993928804993633,0,0,2,1,0,1,pisces,1,other,0,0,0,0,0,0,0,0,0,0,37.7790262,-122.4199061
29,0,2,1,2,-1,0,0,0.3341520726680756,0.3823274075984955,0.28352051973342896,0.802168071269989,0.09960892796516417,0.0982230231165886,0.04221976548433304,0.05789084732532501,0.8998893499374391,0.3536219298839569,0.0864170715212822,0.5599610209465027,0.7674275040626526,0.2305086702108383,0.0,0.6977185606956482,0.04384927824139595,0.25843214988708496,0.4411706030368805,0.3327800929546356,0.2260492742061615,0.11683733761310575,0.7651391625404358,0.11802349239587785,0.4973948895931244,0.4497059881687164,0.05289914458990097,0.3267298638820648,0.2800170183181763,0.3932531476020813,0,0,2,2,0,0,scorpio,1,agnosticism,2,0,0,0,0,0,1,0,0,0,37.8708393,-122.2728639
31,2,2,0,3,-1,0,0,0.3140782117843628,0.6795486211776733,0.0,0.6827535033226013,0.3104608654975891,0.0,0.02373366057872772,0.6149518489837646,0.3613144159317017,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.4405820071697235,0.5563815236091614,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.16510815918445587,0.5357211828231812,0.29917070269584656,0,0,2,2,0,0,,0,atheism,0,0,2,0,3,0,0,0,0,0,37.7790262,-122.4199061
24,0,2,1,3,-1,0,1,0.04707233235239983,0.90790593624115,0.04502173513174057,0.030958391726017002,0.9378095269203186,0.031232096254825592,0.22779470682144165,0.03705815598368645,0.7351471781730652,0.8042539358139038,0.11135359853506087,0.08439246565103531,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0,0,1,1,0,0,leo,2,other,0,0,0,0,0,0,0,0,0,0,37.8044557,-122.2713563
46,1,2,0,1,-1,4,0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,1,0,1,1,0,0,sagittarius,0,other,0,0,0,0,0,0,0,0,0,0,37.7790262,-122.4199061
32,1,2,0,3,-1,3,0,0.7007431983947754,0.2779571115970612,0.02129972167313099,0.039849720895290375,0.037206117063760764,0.922944188117981,0.08259267359972,0.07366472482681274,0.8437426686286926,0.12057085335254668,0.11674031615257265,0.7626888155937195,0.0777696892619133,0.015332741662859915,0.9068976044654846,0.9098970293998718,0.0495520643889904,0.040550924837589264,0.83798748254776,0.09940173476934433,0.06261075288057327,0.09110084176063538,0.08842505514621735,0.8204740881919861,0.1684161275625229,0.6611498594284058,0.17043402791023254,0.09984415024518968,0.7973894476890564,0.10276637226343156,0,0,1,2,1,0,aquarius,0,atheism,1,0,0,0,0,0,0,0,0,0,37.8044557,-122.2713563
27,1,0,0,3,-1,0,1,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.5181500315666199,0.3597011566162109,0.1221488192677498,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0,0,1,1,0,0,gemini,0,other,0,0,3,0,0,0,0,0,0,3,37.7790262,-122.4199061
26,2,0,0,1,-1,0,0,0.021029852330684662,0.4869237542152405,0.4920464158058167,0.033404041081666946,0.397472083568573,0.5691238641738892,0.0664348304271698,0.8634836673736572,0.07008148729801178,0.4219531416893005,0.10037954151630403,0.4776673316955566,0.9572756290435792,0.021779879927635196,0.02094448171555996,0.5284287929534912,0.43385201692581177,0.03771921247243881,0.8224425315856934,0.09155743569135666,0.08600006997585298,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.040092170238494866,0.9316227436065674,0.02828512154519558,0.3638908267021179,0.08715004473924637,0.5489591360092163,0,0,2,1,0,0,scorpio,0,atheism,0,1,1,0,0,0,0,0,0,0,37.7790262,-122.4199061
24,1,2,1,1,-1,4,1,0.09401898086071014,0.08776126801967621,0.8182197213172913,0.5507537126541138,0.36204469203948975,0.08720158040523529,0.8946905136108398,0.054633919149637215,0.050675585865974426,0.8173452019691467,0.08948738127946854,0.09316737949848176,0.0601142942905426,0.05166199430823326,0.8882237076759338,0.5845168828964233,0.051601603627204895,0.3638814687728882,0.08526259660720825,0.09015879780054092,0.824578583240509,0.5209547281265259,0.08668436855077744,0.3923608958721161,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.11558575183153152,0.11995822936296464,0.764456033706665,1,0,1,2,1,0,cancer,0,other,0,0,0,0,0,0,0,0,0,0,37.8044557,-122.2713563
